molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
18,MOL000018,fyp_bz_Molecule.mol2,(+/-)-Isoborneol,86.9841251754,154.280,1.975,1.27192,1.59796,11.3626,1,1,0.05275,0
19,MOL000019,fyp_bz_Molecule1.mol2,D-Camphene,34.9792102593,136.260,2.927,1.80598,2.18648,11.2919,0,0,0.039017,0
20,MOL000020,fyp_bz_Molecule10.mol2,"12-senecioyl-2E,8E,10E-atractylentriol",62.39646702,312.390,2.496,0.0083,-1.37414,6.073759,0,4,0.22294,0.11677162
21,MOL000021,fyp_bz_Molecule11.mol2,"14-acetyl-12-senecioyl-2E,8E,10E-atractylentriol",60.312870701,355.440,3.209,0.32888,-1.08802,5.315508,0,5,0.30534,0.05468975
22,MOL000022,fyp_bz_Molecule12.mol2,"14-acetyl-12-senecioyl-2E,8Z,10E-atractylentriol",63.3709182303,356.450,3.543,0.42142,-1.13888,6.428948,1,5,0.29956,0
23,MOL000023,fyp_bz_Molecule13.mol2,Hemo-sol,39.8409788472,136.260,3.503,1.82929,2.11692,11.679068,0,0,0.02231,0
24,MOL000024,fyp_bz_Molecule14.mol2,alpha-humulene,22.9768241266,204.390,5.035,1.87788,2.07698,,0,0,0.061124,0
25,MOL000025,fyp_bz_Molecule15.mol2,α-Longipinene,53.2610838526,204.390,4.123,1.82854,2.13548,12.061184,0,0,0.12477,0
26,MOL000026,fyp_bz_Molecule16.mol2,stigmast-22E-en-3beta-ol,10.3924992061,414.790,7.890,1.42855,1.12713,,1,1,0.75173,0
27,MOL000027,fyp_bz_Molecule17.mol2,alpha-Curcumene,4.67726525367,202.370,5.337,1.93318,1.99377,,0,0,0.055937,0
28,MOL000028,fyp_bz_Molecule18.mol2,α-Amyrin,39.5120897831,426.800,7.349,1.41514,1.28332,3.831888,1,1,0.7629,0
29,MOL000029,fyp_bz_Molecule19.mol2,beta-Humulene,26.866432388,204.390,5.089,1.82014,2.01289,,0,0,0.061239,0
30,MOL000030,fyp_bz_Molecule2.mol2,(1R)-2-methyl-1-phenylprop-2-en-1-ol,75.1034694564,148.220,2.317,1.26587,1.38252,-2.129028,1,1,0.028357,0
31,MOL000031,fyp_bz_Molecule20.mol2,"(3S)-3-[(1R)-1,5-dimethylhex-4-enyl]-6-methylenecyclohexene",19.8609491736,204.390,5.135,1.88063,1.99287,,0,0,0.055576,0
32,MOL000032,fyp_bz_Molecule21.mol2,beta-Eudesmol,26.0915572301,222.410,3.720,1.31702,1.38400,,1,1,0.095471,0
33,MOL000033,fyp_bz_Molecule22.mol2,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R,5S)-5-propan-2-yloctan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",36.2284705584,428.820,8.540,1.44856,1.09243,5.217923,1,1,0.78288,0
34,MOL000034,fyp_bz_Molecule23.mol2,"2-[(1R,3S,4S)-3-isopropenyl-4-methyl-4-vinylcyclohexyl]propan-2-ol",19.0331206245,222.410,3.701,1.37343,1.46215,,1,1,0.072534,0
35,MOL000035,fyp_bz_Molecule24.mol2,beta-Selinene,24.3882141582,204.390,4.807,1.82578,2.11989,,0,0,0.081081,0
36,MOL000036,fyp_bz_Molecule25.mol2,beta-caryophyllene,29.7022945117,204.390,4.753,1.82766,2.06535,,0,0,0.089893,0
37,MOL000037,fyp_bz_Molecule27.mol2,γ-elemene,23.7859225264,204.390,4.929,1.86537,2.09899,,0,0,0.060288,0
38,MOL000038,fyp_bz_Molecule28.mol2,Akridin,33.7124255211,179.230,3.353,1.62661,1.53450,6.819501,0,1,0.097884,0
39,MOL000039,fyp_bz_Molecule3.mol2,"(1S,2R,4R)-Neoiso-dihydrocarveol",52.3950187368,154.280,2.583,1.38366,1.69238,11.455076,1,1,0.029275,0
40,MOL000040,fyp_bz_Molecule30.mol2,Scopoletol,27.7734608153,192.180,1.616,0.71351,0.29931,,1,4,0.076154,0
41,MOL000041,fyp_bz_Molecule31.mol2,PHA,41.6178844433,165.210,0.955,0.36023,0.21788,4.61834,3,3,0.036077,0
42,MOL000042,fyp_bz_Molecule32.mol2,LPG,87.69200501,89.110,-0.601,-0.34365,-0.76534,11.5838,3,3,0.0059892,0
43,MOL000043,fyp_bz_Molecule33.mol2,atractylenolide i,37.3654313365,230.330,3.323,1.29634,1.28500,7.099736,0,2,0.1488,0
44,MOL000044,fyp_bz_Molecule34.mol2,atractylenolideII,47.5039802837,232.350,3.573,1.29724,1.37316,7.209052,0,2,0.14799,0
45,MOL000045,fyp_bz_Molecule35.mol2,atractylenolide iii,68.1129985935,248.350,2.925,0.74506,0.63167,7.169618,1,3,0.17145,0
46,MOL000046,fyp_bz_Molecule36.mol2,atractylone,41.1007739542,216.350,4.109,1.76369,1.85447,1.73847,0,1,0.12713,0
47,MOL000047,fyp_bz_Molecule38.mol2,juniper camphor,33.2966085207,222.410,3.928,1.43681,1.60937,9.266679,1,1,0.096606,0
48,MOL000048,fyp_bz_Molecule39.mol2,"(5E,9Z)-3,6,10-trimethyl-4,7,8,11-tetrahydrocyclodeca[b]furan",43.1688023489,216.350,4.632,1.77271,1.82621,-1.402133,0,1,0.09533,0
49,MOL000049,fyp_bz_Molecule4.mol2,3β-acetoxyatractylone,54.066717067,274.390,3.387,1.13182,1.07517,-1.305993,0,3,0.21906,0
50,MOL000050,fyp_bz_Molecule40.mol2,GLY,48.7371354815,75.080,-0.978,-0.55597,-1.02919,11.946,3,3,0.0033178,0
51,MOL000051,fyp_bz_Molecule41.mol2,Polymannose,1.76440792588,180.180,-2.684,-1.94165,-4.53441,,5,6,0.034581,0
52,MOL000052,fyp_bz_Molecule42.mol2,Gulutamine,6.65591856909,147.150,-0.924,-1.05342,-1.97001,,4,5,0.021387,0
53,MOL000053,fyp_bz_Molecule43.mol2,Methose,1.67735504787,180.180,-2.693,-1.80248,-4.58177,,5,6,0.034399,0
54,MOL000054,fyp_bz_Molecule44.mol2,L-,47.64200167,174.240,-1.107,-0.49475,-1.03774,0.853607,7,6,0.031878,0
55,MOL000055,fyp_bz_Molecule45.mol2,L-Lysin,29.3325621817,146.220,-0.680,-0.66241,-1.44013,,5,4,0.018179,0
56,MOL000056,fyp_bz_Molecule46.mol2,DTY,57.5545947054,181.210,0.688,-0.10054,-0.48594,0.964133,4,4,0.046654,0
57,MOL000057,fyp_bz_Molecule47.mol2,DIBP,49.6340827018,278.380,3.924,0.84680,0.67940,3.938548,0,4,0.13067,0
58,MOL000058,fyp_bz_Molecule48.mol2,"2-[(2R,5S,6S)-6,10-dimethylspiro[4.5]dec-9-en-2-yl]propan-2-ol",38.5922411595,222.410,3.666,1.33572,1.41907,7.609815,1,1,0.087072,0
59,MOL000059,fyp_bz_Molecule49.mol2,uridine,10.4879353113,244.230,-2.450,-1.14305,-1.61259,,4,8,0.11058,0
60,MOL000060,fyp_bz_Molecule5.mol2,"selina-4(14),7(11)-dien-8-one",32.3117142889,218.370,3.806,1.42409,1.57046,7.684951,0,1,0.095813,0
61,MOL000061,fyp_bz_Molecule50.mol2,Prolinum,77.5746812914,115.150,-0.057,0.22374,0.28935,11.1341,2,3,0.014161,0
62,MOL000062,fyp_bz_Molecule52.mol2,biatractylolide,17.4461659813,462.680,6.677,0.82865,0.36773,,0,4,0.81468,0
63,MOL000063,fyp_bz_Molecule53.mol2,ATRACTYLODES MACROCEPHALA,14.5978870833,462.680,6.677,0.88058,0.60456,,0,4,0.81472,0
64,MOL000064,fyp_bz_Molecule54.mol2,D-Serin,83.59301703,105.110,-1.489,-0.94329,-1.75482,11.5135,4,4,0.0091338,0
65,MOL000065,fyp_bz_Molecule55.mol2,ASI,79.7370198521,133.120,-1.245,-1.02271,-1.53500,11.375,4,5,0.017132,0
66,MOL000066,fyp_bz_Molecule56.mol2,alloaromadedrene,53.4613596861,204.390,4.223,1.82544,2.09907,12.514836,0,0,0.10414,0
67,MOL000067,fyp_bz_Molecule57.mol2,L-Valin,53.3298055291,117.170,0.242,0.04105,-0.14396,11.3439,3,3,0.011914,0
68,MOL000068,fyp_bz_Molecule58.mol2,L-Ile,59.0513730242,131.200,0.699,0.05945,-0.10820,11.206,3,3,0.015008,0
69,MOL000069,fyp_bz_Molecule59.mol2,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,,1,2,0.098573,0
70,MOL000070,fyp_bz_Molecule6.mol2,Ethyl pivaloylacetate,40.5219186178,172.250,1.687,0.81948,0.83477,1.916552,0,3,0.03061,0
71,MOL000071,fyp_bz_Molecule60.mol2,Istidina,53.1753062753,155.180,-1.015,-0.25034,-0.39524,-5.717124,4,4,0.029475,0
72,MOL000072,fyp_bz_Molecule9.mol2,8β-ethoxy atractylenolide Ⅲ,35.950919284,276.410,3.682,1.07824,1.12047,8.34119,0,3,0.21079,0
