molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
1689,MOL001689,acacetin,"Nitric oxide synthase, inducible",3,7,validated,0.863432,0.748
1689,MOL001689,acacetin,Prostaglandin G/H synthase 1,6,20,,0.811099,0.726
1689,MOL001689,acacetin,Androgen receptor,48,146,,0.896666,0.752
1689,MOL001689,acacetin,Prostaglandin G/H synthase 2,94,290,validated,0.902519,0.81
1689,MOL001689,acacetin,Dipeptidyl peptidase IV,332,952,,0.841934,0.718
1689,MOL001689,acacetin,Heat shock protein HSP 90,444,1939,,0.9585,0.706
1689,MOL001689,acacetin,Cell division protein kinase 2,482,2240,,0.945778,0.732
1689,MOL001689,acacetin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.918119,0.716
1689,MOL001689,acacetin,Trypsin-1,2928,3176,,0.923263,0.77
1689,MOL001689,acacetin,Nuclear receptor coactivator 2,3276,6241,,0.811668,0.818
1689,MOL001689,acacetin,Nuclear receptor coactivator 1,3279,6228,,0.823897,0.71
1689,MOL001689,acacetin,Calmodulin,3907,465,,0.85338,0.71
1689,MOL001689,acacetin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.890952,0.702
1689,MOL001689,acacetin,Serine/threonine-protein kinase Chk1,647,5790,,0.893795,0.7
1689,MOL001689,acacetin,Beta-2 adrenergic receptor,261,766,,0.901334,0.7
1689,MOL001689,acacetin,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.832307,0.7
1689,MOL001689,acacetin,Transcription factor p65,4565,h001,validated,,
1689,MOL001689,acacetin,Apoptosis regulator Bcl-2,86,273,validated,,
1689,MOL001689,acacetin,Cyclin-dependent kinase inhibitor 1,4141,h001,validated,,
1689,MOL001689,acacetin,Apoptosis regulator BAX,4033,h001,validated,,
1689,MOL001689,acacetin,Caspase-3,4087,h001,validated,,
1689,MOL001689,acacetin,Cellular tumor antigen p53,646,5788,validated,,
1689,MOL001689,acacetin,Caspase-8,4089,h001,validated,,
1689,MOL001689,acacetin,Fatty acid synthase,374,1295,validated,,
1689,MOL001689,acacetin,Tumor necrosis factor ligand superfamily member 6,4584,h001,validated,,
1689,MOL001689,acacetin,Cytochrome P450 19A1,4148,h001,validated,,
1691,MOL001691,vitamin c,Prostaglandin G/H synthase 1,6,20,,0.815428,0.734
1691,MOL001691,vitamin c,Prostaglandin G/H synthase 2,94,290,,0.855874,0.738
1691,MOL001691,vitamin c,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.941512,0.704
1691,MOL001691,vitamin c,Lactase-phlorizin hydrolase,719,6847,,0.870153,0.71
1691,MOL001691,vitamin c,Hyaluronate lyase,2373,2485,,0.885376,0.702
1691,MOL001691,vitamin c,Glutamate receptor 2,3216,921,,0.903177,0.734
2778,MOL002778,THZ,Lysozyme,1172,2300,,0.845156,0.792
2778,MOL002778,THZ,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.867964,0.762
421,MOL000421,nicotinic acid,Prostaglandin G/H synthase 1,6,20,,0.851121,0.732
