molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1837,MOL001837,lbh_blg_Molecule83.mol2,Methyl-p-coumarate,20.1353878755,178.200,1.886,0.82510,0.50311,,1,3,0.046164,0.3652519
2419,MOL002419,lbh_fz_Molecule44.mol2,(R)-Norcoclaurine,82.5429526502,271.340,2.574,0.62871,0.02804,3.848199,4,4,0.20872,0.33921602
415,MOL000415,fyp_hq_Molecule246.mol2,rutin,3.20153312753,610.570,-1.446,-1.92581,-2.75317,,10,16,0.68283,0
4217,MOL004217,lbh_yhs_Molecule50.mol2,Micheline B,14.8255222178,275.270,2.877,0.92191,0.33690,,0,4,0.52931,0.39183429
4368,MOL004368,lbh_yyh_Molecule109.mol2,Hyperin,6.93898582002,464.410,-0.587,-1.41812,-2.07562,,8,12,0.76905,0
5239,MOL005239,lh_qnz_Molecule928.mol2,Lysicamine,15.6447994386,291.320,3.076,0.94099,0.38040,,0,4,0.41449,0.3020024
6,MOL000006,fyp_bdh_Molecule4.mol2,luteolin,36.1626293429,286.250,2.067,0.18500,-0.84349,15.944492,4,6,0.24552,0.39326519
663,MOL000663,fyp_qjb_Molecule268.mol2,lignoceric acid,14.9035593021,368.720,10.017,1.23524,1.00992,,1,2,0.33352,0.17017478
7206,MOL007206,lxx_hy_Molecule169.mol2,Armepavine,69.3090585966,313.430,3.612,1.29632,0.91256,3.854195,1,4,0.28773,0.24703068
7213,MOL007213,lxx_hy_Molecule182.mol2,Nuciferin,34.4310288295,295.410,3.567,1.22086,0.82841,3.070512,0,3,0.40475,0.24192622
8377,MOL008377,twy_dsh_Molecule103.mol2,Galuteolin,2.70051752513,448.410,0.162,-1.50277,-2.46631,,7,11,0.78893,0.33633676
9155,MOL009155,wjn_lzx_Molecule47.mol2,14-Methyl-24-methylene-dihydromangiferodiol,36.8680357549,456.830,6.701,0.79133,-0.03165,4.690608,2,2,0.80351,0.23475015
9156,MOL009156,wjn_lzx_Molecule48.mol2,4'-methyl-N-methylcoclaurine,55.3515771652,297.430,3.879,1.43764,1.14091,5.053676,0,3,0.26005,0.23193686
9157,MOL009157,wjn_lzx_Molecule49.mol2,NSC90384,36.3203479146,402.580,2.144,-0.28940,-1.11519,6.529657,3,5,0.80042,0.26582932
9158,MOL009158,wjn_lzx_Molecule50.mol2,Isolimocitrol-3-beta-D-glucoside,4.04281622516,538.500,-0.369,-1.31029,-2.01473,,7,14,0.81489,0.26826066
9159,MOL009159,wjn_lzx_Molecule50_qt.mol2,"3,5,7-trihydroxy-2-(3-hydroxy-4-methoxy-phenyl)-6,8-dimethoxy-chromone",17.8443198854,376.340,1.722,0.46713,-0.22109,,4,9,0.44262,0.21235561
9160,MOL009160,wjn_lzx_Molecule53.mol2,Loureirin A,40.4259281705,286.350,3.425,0.82881,0.20867,17.535437,1,4,0.18594,0.31244764
9161,MOL009161,wjn_lzx_Molecule55.mol2,"(1R)-6-methoxy-1,2-dimethyl-3,4-dihydro-1H-isoquinolin-7-ol",32.3146904448,207.300,2.072,1.04343,0.90717,-0.25026,1,3,0.083442,0.2430699
9162,MOL009162,wjn_lzx_Molecule56.mol2,N-Methylheliamine,33.994605058,207.300,1.946,1.11065,1.07942,-0.090814,0,3,0.08107,0.18386382
9163,MOL009163,wjn_lzx_Molecule57.mol2,Nelumboside,4.46404948285,640.550,-2.125,-2.51587,-3.34341,,11,18,0.61871,0.368626
9164,MOL009164,wjn_lzx_Molecule59.mol2,Nudicauline,41.2676748447,710.900,0.073,-0.28380,-0.71199,25.303628,2,13,0.11531,0.2214129
9165,MOL009165,wjn_lzx_Molecule60.mol2,1-sulfinylpropane,60.5271186322,90.160,-0.013,1.10976,1.53703,11.997,0,1,0.0020958,0.079926148
9166,MOL009166,wjn_lzx_Molecule61.mol2,anonaine,25.1408524959,265.330,2.832,1.18310,0.76966,,1,3,0.46952,0.30179513
9167,MOL009167,wjn_lzx_Molecule64.mol2,"(1R)-6,7-dimethoxy-1-(4-methoxybenzyl)-2-methyl-3,4-dihydro-1H-isoquinoline",52.9553691701,327.460,3.863,1.27902,0.78786,3.465467,0,4,0.32468,0.22346655
9168,MOL009168,wjn_lzx_Molecule70.mol2,isoliensinine,2.43571236026,610.810,6.970,0.91187,0.09237,,2,8,0.45536,0.23763768
9169,MOL009169,wjn_lzx_Molecule71.mol2,Liensinine,2.43571236026,610.810,6.970,0.92764,0.07702,,2,8,0.46075,0.25291398
9170,MOL009170,wjn_lzx_Molecule73.mol2,lotusine,2.45477674274,314.440,3.450,0.95048,0.46787,,2,3,0.28462,0.20351243
9171,MOL009171,wjn_lzx_Molecule75.mol2,Neferin,24.2979704747,624.840,7.221,1.06852,0.20082,,1,8,0.42014,0.23394716
9172,MOL009172,wjn_lzx_Molecule77.mol2,Pronuciferin,32.7491475556,311.410,2.351,0.73299,0.49940,9.728098,0,4,0.367,0.24919628
9173,MOL009173,wjn_lzx_Molecule78.mol2,"1,4-Di(p-tolyl)-trans-2-buten-1,4-dione",39.899733965,264.340,4.560,1.01341,0.38929,30.556676,0,2,0.15498,0.4716967
98,MOL000098,fyp_cg_Molecule36_qt.mol2,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,14.400548,5,7,0.27525,0.38453352
