molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
415,MOL000415,rutin,DNA topoisomerase II,287,817,,0.84344,0.706
415,MOL000415,rutin,Transcription factor p65,4565,h001,validated,,
415,MOL000415,rutin,Tumor necrosis factor,265,777,validated,,
415,MOL000415,rutin,Interleukin-6,351,1159,validated,,
415,MOL000415,rutin,Caspase-3,4087,h001,validated,,
415,MOL000415,rutin,NADPH--cytochrome P450 reductase,744,4120,validated,,
415,MOL000415,rutin,Superoxide dismutase [Cu-Zn],597,4152,validated,,
415,MOL000415,rutin,Catalase,735,2230,validated,,
415,MOL000415,rutin,Interleukin-1 beta,418,1654,validated,,
415,MOL000415,rutin,Interleukin-8,4303,h001,validated,,
415,MOL000415,rutin,Protein kinase C beta type,4470,h001,validated,,
415,MOL000415,rutin,Arachidonate 5-lipoxygenase,88,275,validated,,
415,MOL000415,rutin,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1644,3387,validated,,
415,MOL000415,rutin,Hyaluronan synthase 2,4262,h001,validated,,
415,MOL000415,rutin,Glutathione S-transferase P,733,904,validated,,
415,MOL000415,rutin,Type I iodothyronine deiodinase,4589,h001,validated,,
415,MOL000415,rutin,C5a anaphylatoxin chemotactic receptor,4072,h001,validated,,
415,MOL000415,rutin,Insulin,2882,5961,validated,,
415,MOL000415,rutin,Low affinity immunoglobulin epsilon Fc receptor,4326,h001,validated,,
415,MOL000415,rutin,Integrin beta-2,415,1630,validated,,
415,MOL000415,rutin,Thromboxane A2 receptor,294,835,validated,,
4217,MOL004217,Micheline B,Prostaglandin G/H synthase 1,6,20,,0.916267,0.75
4217,MOL004217,Micheline B,Sodium channel protein type 5 subunit alpha,70,220,,0.814473,0.7
4217,MOL004217,Micheline B,Prostaglandin G/H synthase 2,94,290,,0.897196,0.796
4217,MOL004217,Micheline B,Retinoic acid receptor RXR-alpha,158,459,,0.89151,0.702
4217,MOL004217,Micheline B,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.915502,0.704
4217,MOL004217,Micheline B,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.856184,0.702
4217,MOL004217,Micheline B,Androgen receptor,48,146,,0.802731,0.7
4368,MOL004368,Hyperin,DNA topoisomerase II,287,817,,0.903592,0.706
4368,MOL004368,Hyperin,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,,0.9328,0.702
4368,MOL004368,Hyperin,Trypsin-1,2928,3176,,0.85925,0.702
4368,MOL004368,Hyperin,"Nitric oxide synthase, inducible",3,7,,0.877711,0.726
4368,MOL004368,Hyperin,Prostaglandin G/H synthase 1,6,20,,0.908482,0.714
4368,MOL004368,Hyperin,Prostaglandin G/H synthase 2,94,290,,0.945887,0.814
4368,MOL004368,Hyperin,Heat shock protein HSP 90,444,1939,,0.96639,0.716
4368,MOL004368,Hyperin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.936774,0.736
4368,MOL004368,Hyperin,Nuclear receptor coactivator 2,3276,6241,,0.808403,0.788
5239,MOL005239,Lysicamine,Prostaglandin G/H synthase 1,6,20,,0.934685,0.746
5239,MOL005239,Lysicamine,Estrogen receptor,46,136,,0.926896,0.812
5239,MOL005239,Lysicamine,Androgen receptor,48,146,,0.838728,0.716
5239,MOL005239,Lysicamine,Sodium channel protein type 5 subunit alpha,70,220,,0.842836,0.702
5239,MOL005239,Lysicamine,Prostaglandin G/H synthase 2,94,290,,0.912647,0.81
5239,MOL005239,Lysicamine,"Nitric-oxide synthase, endothelial",95,291,,0.805004,0.72
5239,MOL005239,Lysicamine,Retinoic acid receptor RXR-alpha,158,459,,0.893242,0.732
5239,MOL005239,Lysicamine,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.917982,0.71
6,MOL000006,luteolin,Prostaglandin G/H synthase 1,6,20,,0.837102,0.712
6,MOL000006,luteolin,Androgen receptor,48,146,validated,0.855963,0.752
6,MOL000006,luteolin,Prostaglandin G/H synthase 2,94,290,validated,0.922133,0.8
6,MOL000006,luteolin,Heat shock protein HSP 90,444,1939,,0.969594,0.724
6,MOL000006,luteolin,Trypsin-1,2928,3176,,0.885381,0.774
6,MOL000006,luteolin,Nuclear receptor coactivator 2,3276,6241,,0.839869,0.816
6,MOL000006,luteolin,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.92432,0.71
6,MOL000006,luteolin,Dipeptidyl peptidase IV,332,952,,0.83499,0.708
6,MOL000006,luteolin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.926285,0.7
6,MOL000006,luteolin,Transcription factor p65,4565,h001,validated,,
6,MOL000006,luteolin,Epidermal growth factor receptor,298,844,validated,,
6,MOL000006,luteolin,RAC-alpha serine/threonine-protein kinase,4490,h001,validated,,
6,MOL000006,luteolin,Vascular endothelial growth factor A,740,183,validated,,
6,MOL000006,luteolin,G1/S-specific cyclin-D1,4214,h001,validated,,
6,MOL000006,luteolin,Bcl-2-like protein 1,4054,h001,validated,,
6,MOL000006,luteolin,Cyclin-dependent kinase inhibitor 1,4141,h001,validated,,
6,MOL000006,luteolin,Caspase-9,4090,h001,validated,,
6,MOL000006,luteolin,72 kDa type IV collagenase,238,707,validated,,
6,MOL000006,luteolin,Matrix metalloproteinase-9,4334,h001,validated,,
6,MOL000006,luteolin,Mitogen-activated protein kinase 1,354,1176,validated,,
6,MOL000006,luteolin,Interleukin-10,4292,h001,validated,,
6,MOL000006,luteolin,Retinoblastoma-associated protein,2915,3846,validated,,
