molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1212,MOL001212,hc_rx_Molecule104.mol2,Loxanol V,14.1899217318,214.440,5.533,1.26802,0.97555,,1,1,0.051747,0.13846877
1218,MOL001218,hc_rx_Molecule113.mol2,Pisol,18.4965188754,186.380,4.620,1.23267,1.06023,,1,1,0.032811,0.14419173
1312,MOL001312,hc_sl_Molecule6.mol2,9-HEXADECENOIC ACID,35.7758532147,254.460,5.923,1.10288,0.85309,5.606171,1,2,0.1,0.20424239
1392,MOL001392,hc_xhh_Molecule33.mol2,Methyl myristate,19.6820350106,242.450,5.706,1.35515,1.18947,,0,2,0.079634,0.14309362
1396,MOL001396,hc_xhh_Molecule37.mol2,PENTADECYLIC ACID,20.1845931503,242.450,5.911,1.07931,0.88486,,1,2,0.081479,0.18164326
1641,MOL001641,lbh_bd_Molecule33.mol2,METHYL LINOLEATE,41.9343581437,294.530,6.642,1.44006,1.08336,6.053113,0,2,0.16711,0.20834489
1706,MOL001706,lbh_bjl_Molecule2.mol2,"2,6-dimethyl-3,7-octadiene-2,6-diol",52.4022578762,170.280,1.325,0.46872,0.50946,6.570996,2,2,0.031108,0.33470079
1738,MOL001738,lbh_blg_Molecule116.mol2,MLI,21.6895229483,104.070,-0.445,-0.22805,-0.24742,,2,4,0.0092112,0.44369906
1817,MOL001817,lbh_blg_Molecule54.mol2,Methyl stearate,16.8031227499,298.570,7.531,1.41373,1.28907,,0,2,0.16341,0.16182327
1818,MOL001818,lbh_blg_Molecule58.mol2,Methyl palmitelaidate,34.6122634,268.490,6.174,1.39642,1.22092,5.581658,0,2,0.11751,0.17354628
1819,MOL001819,lbh_blg_Molecule59.mol2,METHYL PENTADECANOATE,18.81525029,256.480,6.162,1.36566,1.28468,,0,2,0.096511,0.16586533
1949,MOL001949,lbh_bss_Molecule23.mol2,panaxynol,42.4384975329,244.410,5.681,1.52135,1.03378,7.135043,1,1,0.097799,0.3198055
1965,MOL001965,lbh_btw_Molecule14_qt.mol2,Dauricine (8CI),23.65048221,624.840,7.221,0.90458,0.02874,,1,8,0.36975,0.22083837
2121,MOL002121,lbh_cx_Molecule131.mol2,"(1S,4E,8E,10R)-4,8,11,11-tetramethylbicyclo[8.1.0]undeca-4,8-diene",21.6910212592,204.390,4.699,1.86104,2.02035,,0,0,0.083616,0.26367971
2136,MOL002136,lbh_cx_Molecule160.mol2,neocnidilide,83.8301030452,194.300,3.373,1.23021,1.31800,5.377481,0,2,0.065252,0.27593538
2137,MOL002137,lbh_cx_Molecule162.mol2,OCT,29.7159760739,114.260,4.021,1.78236,2.01580,,0,0,0.0072628,0.18949862
2307,MOL002307,lbh_dqy_Molecule1.mol2,20-Hexadecanoylingenol,28.2039541506,586.940,7.380,0.30385,-0.03882,,3,6,0.68297,0.24261923
