molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
1312,MOL001312,9-HEXADECENOIC ACID,Prostaglandin G/H synthase 1,6,20,,0.848767,0.752
1312,MOL001312,9-HEXADECENOIC ACID,Prostaglandin G/H synthase 2,94,290,,0.823949,0.764
1312,MOL001312,9-HEXADECENOIC ACID,Sodium-dependent noradrenaline transporter,186,540,,0.871958,0.7
1312,MOL001312,9-HEXADECENOIC ACID,Rhodopsin,477,2207,,0.945467,0.708
1312,MOL001312,9-HEXADECENOIC ACID,Ig gamma-1 chain C region,1201,4785,,0.974421,0.708
1312,MOL001312,9-HEXADECENOIC ACID,Ferrichrome-iron receptor,1306,2427,,0.89459,0.71
1312,MOL001312,9-HEXADECENOIC ACID,Nuclear receptor coactivator 2,3276,6241,,0.90362,0.726
1312,MOL001312,9-HEXADECENOIC ACID,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,,0.903459,0.736
1312,MOL001312,9-HEXADECENOIC ACID,Heat shock protein HSP 90,444,1939,,0.972651,0.72
1312,MOL001312,9-HEXADECENOIC ACID,mRNA of PKA Catalytic Subunit C-alpha,699,6263,,0.923973,0.708
1312,MOL001312,9-HEXADECENOIC ACID,Calmodulin,3907,465,,0.829857,0.706
1312,MOL001312,9-HEXADECENOIC ACID,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.977033,0.706
1312,MOL001312,9-HEXADECENOIC ACID,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.938231,0.704
1312,MOL001312,9-HEXADECENOIC ACID,Cytochrome P450-cam,1143,2298,,0.927859,0.826
1396,MOL001396,PENTADECYLIC ACID,Prostaglandin G/H synthase 1,6,20,,0.828121,0.726
1396,MOL001396,PENTADECYLIC ACID,Rhodopsin,477,2207,,0.951031,0.706
1396,MOL001396,PENTADECYLIC ACID,Ig gamma-1 chain C region,1201,4785,,0.97617,0.716
1396,MOL001396,PENTADECYLIC ACID,Ferrichrome-iron receptor,1306,2427,,0.927518,0.712
1396,MOL001396,PENTADECYLIC ACID,Nuclear receptor coactivator 2,3276,6241,,0.916645,0.722
1396,MOL001396,PENTADECYLIC ACID,Prostaglandin G/H synthase 2,94,290,,0.812487,0.754
1641,MOL001641,METHYL LINOLEATE,Prostaglandin G/H synthase 1,6,20,,0.85514,0.742
1641,MOL001641,METHYL LINOLEATE,Prostaglandin G/H synthase 2,94,290,,0.83365,0.744
1641,MOL001641,METHYL LINOLEATE,Nuclear receptor coactivator 2,3276,6241,,0.80481,0.71
1641,MOL001641,METHYL LINOLEATE,Retinoic acid receptor RXR-alpha,158,459,,0.934008,0.7
1738,MOL001738,MLI,"4-aminobutyrate aminotransferase, mitochondrial",92,280,,0.825202,0.724
1738,MOL001738,MLI,"Aspartate aminotransferase, cytoplasmic",202,586,,0.833822,0.708
1738,MOL001738,MLI,Proto-oncogene tyrosine-protein kinase SRC,319,933,,0.911422,0.768
1738,MOL001738,MLI,Cholinesterase,559,3923,,0.833745,0.718
1738,MOL001738,MLI,Alcohol dehydrogenase 1C,727,517,,0.838363,0.774
1738,MOL001738,MLI,Sigma factor sigB regulation protein rsbQ,1040,3490,,0.908544,0.732
1738,MOL001738,MLI,Cytochrome P450-cam,1143,2298,,0.84011,0.744
1738,MOL001738,MLI,Aspartate aminotransferase,1161,2249,,0.844651,0.748
1738,MOL001738,MLI,Ferrichrome-iron receptor,1306,2427,,0.922498,0.744
1738,MOL001738,MLI,Monomeric sarcosine oxidase,1940,2380,,0.843001,0.72
