molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
136,MOL000136,fyp_csl_Molecule4.mol2,Dioscoreside C,10.3183439386,1061.360,-1.247,-3.13472,-3.87332,,12,22,0.027415,0.19684057
1559,MOL001559,lbh_bb_Molecule107.mol2,piperlonguminine,30.7114272607,273.360,2.934,0.95227,0.26509,8.656318,1,4,0.1802,0.35471079
1618,MOL001618,lbh_bb_Molecule92.mol2,Pellitorin,23.8050994414,223.400,3.958,1.35524,1.10087,,1,2,0.061274,0.24919429
1736,MOL001736,lbh_blg_Molecule113.mol2,(-)-taxifolin,60.5062169158,304.270,1.485,-0.24278,-1.01861,14.37314,5,7,0.27342,0.40842575
2442,MOL002442,lbh_gd_Molecule2.mol2,Cholesteryl ferulate,22.4253897626,562.910,9.603,1.09101,0.45139,,1,4,0.62907,0.24641541
309,MOL000309,fyp_hft_Molecule53.mol2,"denudatin,a",6.93254983165,340.400,2.605,0.71462,0.21359,,0,5,0.43709,0.31270438
310,MOL000310,fyp_hft_Molecule54.mol2,Denudatin B,61.4723760592,356.450,2.804,0.90470,0.34780,7.71269,0,5,0.37838,0.23878755
322,MOL000322,fyp_hft_Molecule66.mol2,Kadsurenone,54.7230128444,356.450,2.804,0.81874,0.51544,9.156194,0,5,0.37829,0.23647803
388,MOL000388,fyp_hq_Molecule208.mol2,gamma-aminobutyric acid,24.0890681343,103.140,-0.622,-0.26362,-0.57268,,3,3,0.0070086,0
394,MOL000394,fyp_hq_Molecule217.mol2,choline,0.474664770842,104.200,-1.574,0.86180,0.64295,,1,1,0.0087188,0
3955,MOL003955,lbh_wzy_Molecule154.mol2,D-Cystine,39.5822064836,240.340,-0.876,-1.32771,-2.06246,3.463816,6,6,0.048873,0.36867064
3969,MOL003969,lbh_wzy_Molecule194.mol2,L-Serin,98.4691071377,105.110,-1.489,-1.12020,-2.95543,11.5199,4,4,0.0091307,0.30530748
