molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
1559,MOL001559,piperlonguminine,Muscarinic acetylcholine receptor M1,38,103,,0.837257,0.718
1559,MOL001559,piperlonguminine,"Nitric-oxide synthase, endothelial",95,291,,0.82908,0.76
1559,MOL001559,piperlonguminine,Retinoic acid receptor RXR-alpha,158,459,,0.821226,0.712
1559,MOL001559,piperlonguminine,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.817174,0.702
1559,MOL001559,piperlonguminine,Alpha-1B adrenergic receptor,216,632,,0.822108,0.728
1559,MOL001559,piperlonguminine,Sodium-dependent dopamine transporter,239,713,,0.853566,0.71
1559,MOL001559,piperlonguminine,Beta-2 adrenergic receptor,261,766,,0.909869,0.738
1559,MOL001559,piperlonguminine,Sodium-dependent serotonin transporter,290,824,,0.898012,0.714
1559,MOL001559,piperlonguminine,Leukotriene A-4 hydrolase,521,3060,,0.847304,0.726
1559,MOL001559,piperlonguminine,Amine oxidase [flavin-containing] B,565,3939,,0.883312,0.718
1559,MOL001559,piperlonguminine,Serum amyloid A protein,2889,3866,validated,,
1618,MOL001618,Pellitorin,Sodium-dependent noradrenaline transporter,186,540,,0.828307,0.702
1736,MOL001736,(-)-taxifolin,Prostaglandin G/H synthase 1,6,20,,0.86931,0.712
1736,MOL001736,(-)-taxifolin,Prostaglandin G/H synthase 2,94,290,,0.92926,0.816
1736,MOL001736,(-)-taxifolin,Heat shock protein HSP 90,444,1939,,0.96158,0.714
1736,MOL001736,(-)-taxifolin,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.91077,0.704
309,MOL000309,"denudatin,a",Prostaglandin G/H synthase 1,6,20,,0.90876,0.73
309,MOL000309,"denudatin,a",Muscarinic acetylcholine receptor M3,16,51,,0.89658,0.706
309,MOL000309,"denudatin,a",Thrombin,17,54,,0.93974,0.754
309,MOL000309,"denudatin,a",Potassium voltage-gated channel subfamily H member 2,37,101,,0.92319,0.706
309,MOL000309,"denudatin,a",Muscarinic acetylcholine receptor M1,38,103,,0.92393,0.7
309,MOL000309,"denudatin,a",Sodium channel protein type 5 subunit alpha,70,220,,0.9471,0.75
309,MOL000309,"denudatin,a",Coagulation factor Xa,79,239,,0.85349,0.736
309,MOL000309,"denudatin,a",Prostaglandin G/H synthase 2,94,290,,0.92908,0.802
309,MOL000309,"denudatin,a",Carbonic anhydrase II,117,357,,0.87102,0.792
309,MOL000309,"denudatin,a",Muscarinic acetylcholine receptor M4,154,450,,0.93198,0.7
309,MOL000309,"denudatin,a",Retinoic acid receptor RXR-alpha,158,459,,0.92281,0.702
309,MOL000309,"denudatin,a",Acetylcholinesterase,165,474,,0.88675,0.736
309,MOL000309,"denudatin,a","CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.94051,0.714
309,MOL000309,"denudatin,a",Alpha-1B adrenergic receptor,216,632,,0.84366,0.71
309,MOL000309,"denudatin,a",Dipeptidyl peptidase IV,332,952,,0.95727,0.742
309,MOL000309,"denudatin,a",Heat shock protein HSP 90,444,1939,,0.96161,0.714
309,MOL000309,"denudatin,a",Trypsin-1,2928,3176,,0.87004,0.73
309,MOL000309,"denudatin,a",Calmodulin,3907,465,,0.83912,0.728
322,MOL000322,Kadsurenone,Prostaglandin G/H synthase 1,6,20,,0.91584,0.738
322,MOL000322,Kadsurenone,Muscarinic acetylcholine receptor M3,16,51,,0.93742,0.726
322,MOL000322,Kadsurenone,Thrombin,17,54,,0.96752,0.764
322,MOL000322,Kadsurenone,Potassium voltage-gated channel subfamily H member 2,37,101,,0.94122,0.708
322,MOL000322,Kadsurenone,Muscarinic acetylcholine receptor M1,38,103,,0.94455,0.716
322,MOL000322,Kadsurenone,Sodium channel protein type 5 subunit alpha,70,220,,0.96935,0.728
322,MOL000322,Kadsurenone,Coagulation factor Xa,79,239,,0.91526,0.728
322,MOL000322,Kadsurenone,Muscarinic acetylcholine receptor M5,87,274,,0.92879,0.7
322,MOL000322,Kadsurenone,Prostaglandin G/H synthase 2,94,290,,0.93846,0.804
322,MOL000322,Kadsurenone,Carbonic anhydrase II,117,357,,0.89757,0.792
322,MOL000322,Kadsurenone,Acetylcholinesterase,165,474,,0.93603,0.74
322,MOL000322,Kadsurenone,Muscarinic acetylcholine receptor M2,210,617,,0.95422,0.702
322,MOL000322,Kadsurenone,Alpha-1B adrenergic receptor,216,632,,0.90241,0.73
322,MOL000322,Kadsurenone,Beta-2 adrenergic receptor,261,766,,0.95132,0.72
322,MOL000322,Kadsurenone,Alpha-1D adrenergic receptor,272,789,,0.80309,0.73
322,MOL000322,Kadsurenone,DNA topoisomerase II,287,817,,0.86178,0.712
322,MOL000322,Kadsurenone,Mu-type opioid receptor,299,847,,0.95635,0.704
322,MOL000322,Kadsurenone,Dipeptidyl peptidase IV,332,952,,0.96906,0.736
322,MOL000322,Kadsurenone,Beta-secretase,387,1406,,0.98368,0.718
322,MOL000322,Kadsurenone,Heat shock protein HSP 90,444,1939,,0.97578,0.718
322,MOL000322,Kadsurenone,Trypsin-1,2928,3176,,0.92059,0.73
322,MOL000322,Kadsurenone,Nuclear receptor coactivator 2,3276,6241,,0.86329,0.806
322,MOL000322,Kadsurenone,Nuclear receptor coactivator 1,3279,6228,,0.91992,0.726
322,MOL000322,Kadsurenone,Calcium-activated potassium channel subunit alpha 1,3727,610,,0.89025,0.7
322,MOL000322,Kadsurenone,Calmodulin,3907,465,,0.87344,0.726
322,MOL000322,Kadsurenone,Retinoic acid receptor RXR-alpha,158,459,,0.93868,0.702
322,MOL000322,Kadsurenone,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.97127,0.71
388,MOL000388,gamma-aminobutyric acid,Cathepsin D,363,1243,,0.817754,0.712
388,MOL000388,gamma-aminobutyric acid,Cholinesterase,559,3923,,0.823896,0.728
388,MOL000388,gamma-aminobutyric acid,Alcohol dehydrogenase 1B,726,444,,0.826819,0.756
388,MOL000388,gamma-aminobutyric acid,Alcohol dehydrogenase 1C,727,517,,0.86529,0.786
388,MOL000388,gamma-aminobutyric acid,Cytochrome P450-cam,1143,2298,,0.910732,0.736
388,MOL000388,gamma-aminobutyric acid,Aspartate aminotransferase,1161,2249,,0.8268,0.722
388,MOL000388,gamma-aminobutyric acid,Ferrichrome-iron receptor,1306,2427,,0.924461,0.706
