molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
1015,MOL001015,hc_my_Molecule160.mol2,ZINC00388662,67.0455565134,196.320,2.354,1.24123,1.51462,7.053229,0,2,0.075435,0.22304581
1055,MOL001055,hc_my_Molecule204.mol2,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,47.1921756919,136.260,2.873,1.81554,2.18476,11.444492,0,0,0.043509,0.29215056
1103,MOL001103,hc_my_Molecule259.mol2,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",27.7261775499,196.320,3.115,1.33795,1.52812,,0,2,0.041546,0.25197446
1121,MOL001121,hc_my_Molecule278.mol2,19894-97-4,49.9792805291,152.260,1.782,1.24527,1.49978,11.548892,1,1,0.059011,0.20898236
114,MOL000114,fyp_cg_Molecule55.mol2,vanillic acid,35.4723531931,168.160,1.151,0.43417,0.09082,11.622444,2,4,0.040917,0.34218386
117,MOL000117,fyp_cg_Molecule58.mol2,Cymol,27.2038267287,134.240,3.510,1.85992,2.09815,,0,0,0.022463,0.34152725
2085,MOL002085,lbh_cpc_Molecule5.mol2,alpha-Cubebene,16.7320826053,204.390,4.169,1.83350,2.09789,,0,0,0.10854,0.25265768
1184,MOL001184,hc_my_Molecule71.mol2,bicyclogermacrene,30.7291112687,204.390,4.699,1.86032,2.12624,5.617741,0,0,0.08357,0.24746457
119,MOL000119,fyp_cg_Molecule60.mol2,ZINC02040970,40.4333755876,222.410,4.562,1.43569,1.31354,4.728623,1,1,0.06012,0.30294737
12,MOL000012,fyp_bhcz_Molecule1.mol2,Arachic acid,16.6563562095,312.600,8.192,1.17971,1.08582,,1,2,0.19499,0.17879377
1201,MOL001201,hc_my_Molecule91.mol2,"(1R,5R,7S)-4,7-dimethyl-7-(4-methylpent-3-enyl)bicyclo[3.1.1]hept-3-ene",16.2255714051,204.390,4.699,1.85676,1.96322,,0,0,0.090114,0.26976332
1217,MOL001217,hc_rx_Molecule112.mol2,()-Bornyl acetate,65.5480837603,196.320,2.354,1.29533,1.59047,6.941313,0,2,0.075447,0.21929008
122,MOL000122,fyp_cg_Molecule63.mol2,"1,8-cineole",39.7292164619,154.280,2.148,1.57306,2.06035,11.2921,0,1,0.049041,0.24210331
123,MOL000123,fyp_cg_Molecule64.mol2,geraniol,23.9348108651,154.280,2.934,1.19222,1.14081,,1,1,0.020271,0.27352819
1245,MOL001245,hc_rx_Molecule24.mol2,"(1S,5R)-7,7-dimethyl-4-bicyclo[3.1.1]hept-3-enecarboxaldehyde",41.25152421,150.240,2.038,1.33805,1.65616,11.4721,0,1,0.059433,0.28578851
125,MOL000125,fyp_cg_Molecule66.mol2,(-)-alpha-Pinene,46.2498150113,136.260,2.873,1.84526,2.29870,11.4218,0,0,0.052565,0.24731636
126,MOL000126,fyp_cg_Molecule67.mol2,(-)-nopinene,44.83529174,136.260,2.927,1.80433,2.11917,11.3189,0,0,0.052595,0.26974788
1273,MOL001273,hc_rx_Molecule7.mol2,80-57-9,50.6314074434,150.240,1.942,1.27451,1.59484,11.5586,0,1,0.061837,0.34078652
