molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
1015,MOL001015,ZINC00388662,Muscarinic acetylcholine receptor M3,16,51,,0.92955,0.758
1015,MOL001015,ZINC00388662,Muscarinic acetylcholine receptor M1,38,103,,0.92995,0.75
1015,MOL001015,ZINC00388662,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.96148,0.738
1015,MOL001015,ZINC00388662,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,,0.93814,0.708
1015,MOL001015,ZINC00388662,Muscarinic acetylcholine receptor M2,210,617,,0.94471,0.748
1015,MOL001015,ZINC00388662,Alpha-1B adrenergic receptor,216,632,,0.82968,0.722
1015,MOL001015,ZINC00388662,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.94927,0.758
1015,MOL001015,ZINC00388662,Glutamate receptor 2,3216,921,,0.91298,0.716
1015,MOL001015,ZINC00388662,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841,,0.9263,0.722
1015,MOL001015,ZINC00388662,Prostaglandin G/H synthase 2,94,290,,0.892033,0.716
1015,MOL001015,ZINC00388662,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,,0.936531,0.722
1015,MOL001015,ZINC00388662,DNA topoisomerase II,287,817,,0.895804,0.728
1055,MOL001055,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.961651,0.7
1055,MOL001055,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,Cytochrome P450-cam,1143,2298,,0.929117,0.77
1055,MOL001055,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.9861,0.7
1055,MOL001055,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,Prostaglandin G/H synthase 2,94,290,,0.938864,0.722
1055,MOL001055,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,DNA topoisomerase II,287,817,,0.932152,0.712
1055,MOL001055,5-isopropyl-2-methylbicyclo[3.1.0]hex-2-ene,Nuclear receptor coactivator 2,3276,6241,,0.818255,0.732
1103,MOL001103,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.87343,0.734
1103,MOL001103,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",Acetylcholinesterase,165,474,,0.8132,0.78
1103,MOL001103,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,,0.88896,0.704
1103,MOL001103,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.87213,0.748
1103,MOL001103,"[(3R)-3,7-dimethylocta-1,6-dien-3-yl] acetate",Trypsin-1,2928,3176,,0.84715,0.738
