molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
131,MOL000131,fyp_cg_Molecule73.mol2,EIC,41.9044360216,280.500,6.391,1.16206,0.90315,7.497042,1,2,0.14347,0.25038776
1323,MOL001323,hc_tr_Molecule19.mol2,Sitosterol alpha1,43.281270422,426.800,8.153,1.41477,0.97257,5.640765,1,1,0.78354,0.23716514
1393,MOL001393,hc_xhh_Molecule34.mol2,myristic acid,21.1811726395,228.420,5.455,1.07113,0.99179,,1,2,0.066784,0.18521617
1494,MOL001494,hcx_ndl_Molecule52.mol2,Mandenol,41.99620045,308.560,6.991,1.45585,1.13821,5.385969,0,2,0.19321,0.2476896
1641,MOL001641,lbh_bd_Molecule33.mol2,METHYL LINOLEATE,41.9343581437,294.530,6.642,1.44006,1.08336,6.053113,0,2,0.16711,0.20834489
1874,MOL001874,lbh_bmg_Molecule18.mol2,isoarborinol,17.6611915161,426.800,7.349,1.47313,1.32421,,1,1,0.77452,0.22815913
1881,MOL001881,lbh_bmg_Molecule31.mol2,MBOA,63.0057230691,165.160,1.324,0.72410,0.60610,2.380808,1,4,0.050548,0.31405741
1884,MOL001884,lbh_bmg_Molecule6.mol2,Omaine,26.598062366,371.470,2.128,0.68380,0.15849,,1,6,0.51287,0.20374578
2046,MOL002046,lbh_clz_Molecule15.mol2,hexanoic acid,73.0751978707,116.180,1.806,0.79600,0.93340,10.8053,1,2,0.0090082,0.27050096
2372,MOL002372,lbh_fxy_Molecule30.mol2,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",33.5459426365,410.800,11.331,2.07256,1.76597,3.149533,0,0,0.42436,0.26638508
256,MOL000256,fyp_dk_Molecule176.mol2,Olein,27.2709332268,885.610,20.925,0.97156,-0.79802,,0,6,0.13183,0.17830795
2875,MOL002875,lbh_hjs_Molecule26.mol2,Methyl oleate,31.8984808147,296.550,7.086,1.41574,1.12532,5.366857,0,2,0.16538,0.16911076
2882,MOL002882,lbh_hjs_Molecule45.mol2,"[(2R)-2,3-dihydroxypropyl] (Z)-octadec-9-enoate",34.1310775832,356.610,6.036,0.34274,-0.21974,5.189662,2,4,0.29824,0.20345733
298,MOL000298,fyp_fl_Molecule178.mol2,ergosterol,14.2909138114,396.720,6.933,1.46569,1.04346,,1,1,0.72328,0
303,MOL000303,fyp_fl_Molecule184.mol2,caprylic acid,16.3979666948,144.240,2.718,0.90233,1.02128,,1,2,0.016205,0
3050,MOL003050,lbh_jyh_Molecule185.mol2,nonanoic acid,40.5088579998,158.270,3.174,0.92061,1.08429,4.154232,1,2,0.021191,0.22880241
