molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
131,MOL000131,EIC,Prostaglandin G/H synthase 1,6,20,,0.87754,0.764
131,MOL000131,EIC,Prostaglandin G/H synthase 2,94,290,,0.86383,0.772
131,MOL000131,EIC,Retinoic acid receptor RXR-alpha,158,459,,0.93284,0.704
131,MOL000131,EIC,Nuclear receptor coactivator 2,3276,6241,,0.81784,0.718
131,MOL000131,EIC,Lysozyme,1172,2300,,0.866807,0.702
131,MOL000131,EIC,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.944472,0.71
131,MOL000131,EIC,Sodium-dependent noradrenaline transporter,186,540,,0.8473,0.704
131,MOL000131,EIC,Ig gamma-1 chain C region,1201,4785,,0.96227,0.704
131,MOL000131,EIC,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.977307,0.706
131,MOL000131,EIC,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.938922,0.704
131,MOL000131,EIC,Cytochrome P450-cam,1143,2298,,0.928744,0.826
131,MOL000131,EIC,Transient receptor potential cation channel subfamily V member 1,404,1558,,0.91069,0.7
131,MOL000131,EIC,Muscarinic acetylcholine receptor M1,38,103,,0.828769,0.714
131,MOL000131,EIC,Muscarinic acetylcholine receptor M2,210,617,,0.876573,0.73
131,MOL000131,EIC,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841,,0.826446,0.702
1323,MOL001323,Sitosterol alpha1,Progesterone receptor,209,614,,0.9092,0.7
1323,MOL001323,Sitosterol alpha1,Prostaglandin G/H synthase 2,94,290,,0.844089,0.704
1323,MOL001323,Sitosterol alpha1,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.960006,0.708
1323,MOL001323,Sitosterol alpha1,Alcohol dehydrogenase 1C,727,517,,0.809744,0.728
1323,MOL001323,Sitosterol alpha1,Cytochrome P450-cam,1143,2298,,0.87499,0.71
1323,MOL001323,Sitosterol alpha1,Mineralocorticoid receptor,252,737,,0.939997,0.704
1393,MOL001393,myristic acid,Prostaglandin G/H synthase 1,6,20,,0.876438,0.738
1393,MOL001393,myristic acid,Prostaglandin G/H synthase 2,94,290,,0.841877,0.764
1393,MOL001393,myristic acid,Cholinesterase,559,3923,,0.916548,0.702
1393,MOL001393,myristic acid,Phospholipase A2,708,6500,,0.91231,0.728
1393,MOL001393,myristic acid,Rhinovirus coat protein,709,6521,,0.908699,0.716
1393,MOL001393,myristic acid,Ig gamma-1 chain C region,1201,4785,,0.980295,0.728
