molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
12,MOL000012,fyp_bhcz_Molecule1.mol2,Arachic acid,16.6563562095,312.600,8.192,1.17971,1.08582,,1,2,0.19499,0.17879377
12901,MOL012901,zw_bbd_Molecule9.mol2,D-Homoproline,59.8811317652,129.180,0.400,0.40987,0.50917,11.0269,2,3,0.01881,0.26911515
1308,MOL001308,hc_sl_Molecule3.mol2,oleic acid,33.1283648117,282.520,6.835,1.14063,0.92898,5.388022,1,2,0.14262,0.19522245
131,MOL000131,fyp_cg_Molecule73.mol2,EIC,41.9044360216,280.500,6.391,1.16206,0.90315,7.497042,1,2,0.14347,0.25038776
2773,MOL002773,lbh_hh_Molecule72.mol2,beta-carotene,37.1843333711,536.960,11.999,2.25156,1.52266,4.357938,0,0,0.58358,0.3253943
3795,MOL003795,lbh_sl_Molecule12.mol2,CPI,66.1439307106,129.180,0.400,0.32327,0.38415,11.0824,2,3,0.018808,0.28348887
3870,MOL003870,lbh_sy_Molecule47.mol2,gynesine,60.067561264,137.150,-0.292,0.58428,0.77834,11.7779,0,2,0.025632,0.10345417
399,MOL000399,fyp_hq_Molecule222.mol2,Docosanoate,15.6884486297,340.660,9.105,1.21002,0.90891,,1,2,0.26054,0
421,MOL000421,fyp_hq_Molecule258.mol2,nicotinic acid,47.6452927768,123.120,0.284,0.33848,0.20967,11.9826,1,3,0.020168,0
675,MOL000675,fyp_qjb_Molecule293.mol2,oleic acid,33.12836481,282.520,6.835,1.16896,0.77767,4.986206,1,2,0.14243,0.19616304
69,MOL000069,fyp_bz_Molecule59.mol2,palmitic acid,19.2965647018,256.480,6.368,1.09151,0.99862,,1,2,0.098573,0
732,MOL000732,fyp_sz_Molecule106.mol2,Stachyose,3.25144940165,666.660,-7.804,-5.53721,-12.75725,,14,21,0.5893,0.21453558
841,MOL000841,fyp_zx_Molecule400.mol2,raffinose,11.7912541419,504.500,-6.057,-3.91006,-8.77412,,11,16,0.65793,0.21232648
860,MOL000860,fyp_zx_Molecule426.mol2,stearic acid,17.8254293816,284.540,7.280,1.14557,1.22356,,1,2,0.14086,0.18716544
