molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
12,MOL000012,Arachic acid,Prostaglandin G/H synthase 1,6,20,,0.91847,0.72
12,MOL000012,Arachic acid,Prostaglandin G/H synthase 2,94,290,,0.94513,0.812
12,MOL000012,Arachic acid,Coagulation factor VII,123,369,,0.81024,0.704
12,MOL000012,Arachic acid,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,,0.9011,0.734
12,MOL000012,Arachic acid,Heat shock protein HSP 90,444,1939,,0.96429,0.728
12,MOL000012,Arachic acid,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform",491,2404,,0.93276,0.726
12,MOL000012,Arachic acid,Ig gamma-1 chain C region,1201,4785,,0.955918,0.7
12,MOL000012,Arachic acid,Nuclear receptor coactivator 2,3276,6241,,0.873427,0.7
12901,MOL012901,D-Homoproline,Cathepsin D,363,1243,,0.924816,0.718
12901,MOL012901,D-Homoproline,Alcohol dehydrogenase 1B,726,444,,0.906773,0.712
12901,MOL012901,D-Homoproline,Alcohol dehydrogenase 1C,727,517,,0.923068,0.742
1308,MOL001308,oleic acid,Prostaglandin G/H synthase 1,6,20,,0.877101,0.746
1308,MOL001308,oleic acid,Prostaglandin G/H synthase 2,94,290,,0.865337,0.758
1308,MOL001308,oleic acid,Retinoic acid receptor RXR-alpha,158,459,,0.938392,0.718
1308,MOL001308,oleic acid,Nuclear receptor coactivator 2,3276,6241,,0.831033,0.71
1308,MOL001308,oleic acid,Ig gamma-1 chain C region,1201,4785,,0.96671,0.71
1308,MOL001308,oleic acid,Rhodopsin,477,2207,,0.927994,0.7
1308,MOL001308,oleic acid,Muscarinic acetylcholine receptor M3,16,51,,0.939549,0.712
1308,MOL001308,oleic acid,Potassium voltage-gated channel subfamily H member 2,37,101,,0.918196,0.708
1308,MOL001308,oleic acid,Muscarinic acetylcholine receptor M1,38,103,,0.939148,0.706
1308,MOL001308,oleic acid,Sodium channel protein type 5 subunit alpha,70,220,,0.953694,0.73
1308,MOL001308,oleic acid,Coagulation factor Xa,79,239,,0.851772,0.712
1308,MOL001308,oleic acid,Coagulation factor VII,123,369,,0.899165,0.702
1308,MOL001308,oleic acid,Delta-type opioid receptor,163,467,,0.968974,0.71
1308,MOL001308,oleic acid,"CGMP-inhibited 3',5'-cyclic phosphodiesterase A",172,485,,0.938238,0.704
1308,MOL001308,oleic acid,Alpha-1B adrenergic receptor,216,632,,0.899656,0.73
1308,MOL001308,oleic acid,"mRNA of Protein-tyrosine phosphatase, non-receptor type 1",229,687,,0.892311,0.718
1308,MOL001308,oleic acid,Beta-2 adrenergic receptor,261,766,,0.958685,0.724
1308,MOL001308,oleic acid,Alpha-1D adrenergic receptor,272,789,,0.838318,0.718
1308,MOL001308,oleic acid,Heat shock protein HSP 90,444,1939,,0.969505,0.728
1308,MOL001308,oleic acid,Retinoic acid receptor RXR-beta,789,88,,0.867439,0.702
1308,MOL001308,oleic acid,Calcium-activated potassium channel subunit alpha 1,3727,610,,0.897035,0.704
1308,MOL001308,oleic acid,Calmodulin,3907,465,,0.835545,0.766
1308,MOL001308,oleic acid,Progesterone receptor,209,614,,0.910609,0.75
1308,MOL001308,oleic acid,Cytochrome P450-cam,1143,2298,,0.923103,0.798
131,MOL000131,EIC,Prostaglandin G/H synthase 1,6,20,,0.87754,0.764
131,MOL000131,EIC,Prostaglandin G/H synthase 2,94,290,,0.86383,0.772
