molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
273,MOL000273,fyp_fl_Molecule153.mol2,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",30.93214234,470.760,5.413,0.01025,-0.7579,6.812918,3,4,0.81281,0
274,MOL000274,fyp_fl_Molecule154.mol2,"3β-hydroxylanosta-7,9(11),24-trien-21-oic acid",24.9155225498,454.760,6.583,0.52792,-0.24049,,2,3,0.80402,0
275,MOL000275,fyp_fl_Molecule155.mol2,trametenolic acid,38.7115000211,456.780,7.027,0.51877,-0.14230,7.7791,2,3,0.80199,0
276,MOL000276,fyp_fl_Molecule156.mol2,"7,9(11)-dehydropachymic acid",35.1058909952,526.830,6.098,0.02743,-0.87172,7.340838,2,5,0.81091,0
277,MOL000277,fyp_fl_Molecule157.mol2,tumulosic acid,15.9543825045,486.810,6.164,0.02463,-0.50673,,3,4,0.81417,0
278,MOL000278,fyp_fl_Molecule158.mol2,Beta-Glucan,0.732104371339,516.560,-4.882,-3.13246,-7.77844,,9,15,0.70153,0
279,MOL000279,fyp_fl_Molecule159.mol2,Cerevisterol,37.96382825,430.740,5.146,0.27629,-0.38974,5.312703,3,3,0.77061,0
280,MOL000280,fyp_fl_Molecule160.mol2,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",31.0720566481,484.790,5.719,0.05107,-0.69764,7.418508,3,4,0.81528,0
281,MOL000281,fyp_fl_Molecule161.mol2,Dimethyl L-malate,8.59235080667,162.160,-0.453,-0.04601,-0.60857,,1,5,0.025975,0
282,MOL000282,fyp_fl_Molecule162.mol2,"ergosta-7,22E-dien-3beta-ol",43.507086374,398.740,7.183,1.32195,0.90967,5.113073,1,1,0.71939,0
283,MOL000283,fyp_fl_Molecule163.mol2,Ergosterol peroxide,40.3626804838,430.740,7.171,0.84419,0.34096,3.428952,1,3,0.81255,0
284,MOL000284,fyp_fl_Molecule164.mol2,L-uridine,23.4034562895,244.230,-2.450,-1.06956,-1.42307,,4,8,0.11056,0
285,MOL000285,fyp_fl_Molecule165.mol2,"(2R)-2-[(5R,10S,13R,14R,16R,17R)-16-hydroxy-3-keto-4,4,10,13,14-pentamethyl-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",38.2551579991,482.770,5.680,0.11551,-0.57069,6.77014,2,4,0.82014,0
286,MOL000286,fyp_fl_Molecule166.mol2,β-amyrin acetate,9.10739137374,468.840,7.683,1.42203,1.20816,,0,2,0.74014,0
287,MOL000287,fyp_fl_Molecule167.mol2,3beta-Hydroxy-24-methylene-8-lanostene-21-oic acid,38.6999140072,470.810,7.333,0.60670,-0.04064,6.59447,2,3,0.8095,0
288,MOL000288,fyp_fl_Molecule168.mol2,pachyman,0.452614017532,500.560,-4.268,-2.35620,-3.58313,,9,14,0.67566,0
289,MOL000289,fyp_fl_Molecule169.mol2,pachymic acid,33.6279195687,528.850,6.543,0.10154,-0.57273,9.266582,2,5,0.81076,0
290,MOL000290,fyp_fl_Molecule170.mol2,Poricoic acid A,30.60694619,498.770,5.943,-0.13680,-0.92991,8.256824,3,5,0.76152,0
291,MOL000291,fyp_fl_Molecule171.mol2,Poricoic acid B,30.5246012947,484.740,5.638,-0.07527,-0.86893,8.672073,3,5,0.7463,0
292,MOL000292,fyp_fl_Molecule172.mol2,poricoic acid C,38.1513578853,482.770,7.113,0.31611,-0.41341,7.725726,2,4,0.74643,0
293,MOL000293,fyp_fl_Molecule173.mol2,poricoic acid D,22.3805110889,514.770,4.727,-0.61657,-1.29388,,4,6,0.77504,0
294,MOL000294,fyp_fl_Molecule174.mol2,poricoic acid DM,29.31838206,528.800,4.978,-0.33705,-0.93917,,3,6,0.78482,0
295,MOL000295,fyp_fl_Molecule175.mol2,alexandrin,20.6319368572,576.950,6.337,-0.19930,-0.80971,,4,6,0.62697,0
296,MOL000296,fyp_fl_Molecule175_qt.mol2,hederagenin,36.9139058327,414.790,8.084,1.31876,0.96428,5.347511,1,1,0.75072,0
297,MOL000297,fyp_fl_Molecule177.mol2,Tumulosic acid,29.8772072718,486.810,6.164,0.12889,-0.47113,,3,4,0.8125,0
298,MOL000298,fyp_fl_Molecule178.mol2,ergosterol,14.2909138114,396.720,6.933,1.46569,1.04346,,1,1,0.72328,0
299,MOL000299,fyp_fl_Molecule179.mol2,Trimethyl citrate,67.6114110881,234.230,-0.642,-0.06390,-0.32884,6.277611,1,7,0.068031,0
300,MOL000300,fyp_fl_Molecule180.mol2,dehydroeburicoic acid,44.1722986724,453.750,6.348,0.38192,-0.16110,7.037371,1,3,0.83458,0.038687482
