molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
105,MOL000105,fyp_cg_Molecule44.mol2,protocatechuic acid,25.3664679574,154.130,0.900,0.10027,-0.17388,,3,4,0.035092,0.43219224
1097,MOL001097,hc_my_Molecule250.mol2,o-xylene,45.5470233875,106.180,2.802,1.84537,2.07710,11.8621,0,0,0.014755,0.41448867
1098,MOL001098,hc_my_Molecule251.mol2,m-xylene,47.4274745868,106.180,2.802,1.82509,2.01649,11.8186,0,0,0.014128,0.39228845
1099,MOL001099,hc_my_Molecule252.mol2,p-xylene,48.7427468746,106.180,2.802,1.82964,2.06351,11.705484,0,0,0.014017,0.38821682
118,MOL000118,fyp_cg_Molecule59.mol2,(L)-alpha-Terpineol,48.7977727286,154.280,2.415,1.39392,1.72345,11.349096,1,1,0.030772,0.26883334
12,MOL000012,fyp_bhcz_Molecule1.mol2,Arachic acid,16.6563562095,312.600,8.192,1.17971,1.08582,,1,2,0.19499,0.17879377
1484,MOL001484,hcx_ndl_Molecule38.mol2,Inermine,75.1830603794,284.280,2.442,0.89459,0.39505,11.716739,1,5,0.53754,0.29992098
1543,MOL001543,hcx_szr_Molecule126.mol2,Vicenin-2,3.41553704449,594.570,-2.449,-3.15474,-3.87381,,11,15,0.7819,0.32470345
1599,MOL001599,lbh_bb_Molecule53.mol2,α-cubebol,64.8052215974,208.380,3.277,1.32087,1.43375,7.244977,1,1,0.085702,0.25696406
1696,MOL001696,lbh_bjc_Molecule7.mol2,Morusin,11.5180775961,420.490,4.939,0.50538,-0.22029,,3,6,0.75644,0.3127746
1737,MOL001737,lbh_blg_Molecule114.mol2,ICO,33.8586782159,161.170,1.728,0.82197,0.63054,-7.700466,2,2,0.050504,0.29791251
1789,MOL001789,lbh_blg_Molecule24.mol2,isoliquiritigenin,85.3217982296,256.270,2.900,0.43959,-0.40612,17.664015,3,4,0.14805,0.46312603
1792,MOL001792,lbh_blg_Molecule29.mol2,DFV,32.7627237546,256.270,2.565,0.50823,-0.28845,17.885678,2,4,0.18316,0.42163903
1850,MOL001850,lbh_bm_Molecule13.mol2,Izoforon,44.9831640694,138.230,2.056,1.28032,1.66220,11.4025,0,1,0.027181,0.32187948
211,MOL000211,fyp_dfp_Molecule37.mol2,Mairin,55.3770733787,456.780,6.521,0.73231,0.21532,8.873708,2,3,0.7761,0.25708821
2137,MOL002137,lbh_cx_Molecule162.mol2,OCT,29.7159760739,114.260,4.021,1.78236,2.01580,,0,0,0.0072628,0.18949862
2166,MOL002166,lbh_cx_Molecule28.mol2,ISOHEPTANE,59.9404501288,100.230,3.361,1.80956,2.24933,10.674692,0,0,0.0055808,0.22077836
2198,MOL002198,lbh_cx_Molecule81.mol2,Heptan,41.7993954,100.230,3.565,1.77094,2.04313,10.3614,0,0,0.0049914,0.20089389
2311,MOL002311,lbh_dqy_Molecule13.mol2,Glycyrol,90.7757822323,366.390,4.851,0.71361,-0.19965,9.849988,2,6,0.66819,0.28250387
239,MOL000239,fyp_dk_Molecule144.mol2,Jaranol,50.8288167701,314.310,2.087,0.60710,-0.21709,15.50148,2,6,0.29148,0.28672627
2547,MOL002547,lbh_glj_Molecule26.mol2,21987_FLUKA,40.9213544568,136.260,2.678,1.84078,2.14388,11.215192,0,0,0.042641,0.25826055
2565,MOL002565,lbh_glj_Molecule60.mol2,Medicarpin,49.2198176056,270.300,2.658,1.00452,0.52596,8.456805,1,4,0.3351,0.3136017
263,MOL000263,fyp_dk_Molecule187.mol2,oleanolic acid,29.0208414157,456.780,6.422,0.58907,0.07400,,2,3,0.75599,0.24701537
2678,MOL002678,lbh_hh_Molecule105.mol2,EB,49.383287725,106.180,2.772,1.83479,2.15401,11.7601,0,0,0.012997,0.38162845
2693,MOL002693,lbh_hh_Molecule127.mol2,nicotiflorin,3.63711472365,594.570,-1.178,-1.77125,-2.55121,,9,15,0.72565,0.30037078
2844,MOL002844,lbh_hj_Molecule47.mol2,Pinocembrin,64.7217125085,256.270,2.565,0.60542,0.11918,17.963555,2,4,0.17985,0.42530242
2850,MOL002850,lbh_hj_Molecule71.mol2,butylated hydroxytoluene,40.0202686811,220.390,4.850,1.75264,1.79758,10.359112,1,1,0.071985,0.29664239
2943,MOL002943,lbh_jx_Molecule13.mol2,BuOH,22.0150664162,74.140,0.971,0.94208,1.04941,,1,1,0.0021366,0.20913874
3218,MOL003218,lbh_lgt_Molecule32.mol2,Neouralenol,12.7643880881,370.380,3.360,0.23528,-0.74507,,5,7,0.45647,0.36667973
354,MOL000354,fyp_hjs_Molecule456_qt.mol2,isorhamnetin,49.604377053,316.280,1.755,0.30933,-0.54258,14.339263,4,7,0.306,0.32039431
359,MOL000359,fyp_hjs_Molecule463.mol2,sitosterol,36.91390583,414.790,8.084,1.32059,0.87298,5.371091,1,1,0.7512,0.22479513
3656,MOL003656,lbh_sdg_Molecule38.mol2,Lupiwighteone,51.6356918063,338.380,3.921,0.67745,-0.23066,15.629739,3,5,0.36739,0.35508931
