molecule_ID,MOL_ID,molecule_name,target_name,target_ID,drugbank_ID,validated,SVM_score,RF_score
105,MOL000105,protocatechuic acid,Prostaglandin G/H synthase 1,6,20,,0.84893,0.76
105,MOL000105,protocatechuic acid,Arachidonate 5-lipoxygenase,88,275,,0.85515,0.7
105,MOL000105,protocatechuic acid,Prostaglandin G/H synthase 2,94,290,,0.85831,0.796
105,MOL000105,protocatechuic acid,Amine oxidase [flavin-containing] B,565,3939,,0.85199,0.706
105,MOL000105,protocatechuic acid,Lysozyme,1172,2300,,0.88751,0.718
105,MOL000105,protocatechuic acid,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.90697,0.712
105,MOL000105,protocatechuic acid,Alcohol dehydrogenase 1C,727,517,,0.850764,0.728
105,MOL000105,protocatechuic acid,Trypsin-3,3952,2886,,0.848786,0.706
105,MOL000105,protocatechuic acid,Protein kinase C alpha type,4469,h001,validated,,
105,MOL000105,protocatechuic acid,Protein kinase C beta type,4470,h001,validated,,
105,MOL000105,protocatechuic acid,Protein kinase C gamma type,4473,h001,validated,,
105,MOL000105,protocatechuic acid,"Maltase-glucoamylase, intestinal",318,929,validated,,
105,MOL000105,protocatechuic acid,Protein kinase C zeta type,4474,h001,validated,,
1097,MOL001097,o-xylene,Alcohol dehydrogenase 1C,727,517,,0.8836,0.742
1097,MOL001097,o-xylene,Lysozyme,1172,2300,,0.87815,0.826
1097,MOL001097,o-xylene,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.84626,0.768
1097,MOL001097,o-xylene,Cytochrome P450 2B1,4151,h001,validated,,
1097,MOL001097,o-xylene,Cytochrome P450 1A1,4149,h001,validated,,
1098,MOL001098,m-xylene,Alcohol dehydrogenase 1B,726,444,,0.870372,0.702
1098,MOL001098,m-xylene,Alcohol dehydrogenase 1C,727,517,,0.88475,0.754
1098,MOL001098,m-xylene,Lysozyme,1172,2300,,0.881485,0.818
1098,MOL001098,m-xylene,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.841124,0.766
1098,MOL001098,m-xylene,Cytochrome P450 2B1,4151,h001,validated,,
1098,MOL001098,m-xylene,Cytochrome P450 2E1,4154,h001,validated,,
1098,MOL001098,m-xylene,Cytochrome P450 4B1,4157,h001,validated,,
1099,MOL001099,p-xylene,Alcohol dehydrogenase 1C,727,517,,0.88065,0.76
1099,MOL001099,p-xylene,Lysozyme,1172,2300,,0.88801,0.812
1099,MOL001099,p-xylene,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,2262,2264,,0.83644,0.75
1099,MOL001099,p-xylene,Alcohol dehydrogenase 1B,726,444,,0.86623,0.702
1099,MOL001099,p-xylene,Retinoic acid receptor RXR-alpha,158,459,,0.910626,0.714
1099,MOL001099,p-xylene,Progesterone receptor,209,614,,0.953349,0.764
1099,MOL001099,p-xylene,Mineralocorticoid receptor,252,737,,0.945705,0.748
1099,MOL001099,p-xylene,Glucocorticoid receptor,308,871,,0.944478,0.75
1099,MOL001099,p-xylene,Nuclear receptor coactivator 2,3276,6241,,0.876703,0.796
1099,MOL001099,p-xylene,Nuclear receptor coactivator 1,3279,6228,,0.911492,0.756
1099,MOL001099,p-xylene,Cytochrome P450 2E1,4154,h001,validated,,
1099,MOL001099,p-xylene,Cytochrome P450 2D6,4153,h001,validated,,
118,MOL000118,(L)-alpha-Terpineol,Muscarinic acetylcholine receptor M3,16,51,,0.91702,0.716
118,MOL000118,(L)-alpha-Terpineol,Muscarinic acetylcholine receptor M1,38,103,,0.93826,0.726
118,MOL000118,(L)-alpha-Terpineol,Gamma-aminobutyric-acid receptor alpha-2 subunit,141,423,,0.96551,0.72
118,MOL000118,(L)-alpha-Terpineol,Gamma-aminobutyric-acid receptor alpha-5 subunit,181,523,,0.95152,0.7
118,MOL000118,(L)-alpha-Terpineol,Sodium-dependent noradrenaline transporter,186,540,,0.90946,0.704
118,MOL000118,(L)-alpha-Terpineol,Gamma-aminobutyric-acid receptor alpha-3 subunit,200,580,,0.9208,0.716
118,MOL000118,(L)-alpha-Terpineol,Muscarinic acetylcholine receptor M2,210,617,,0.95086,0.734
118,MOL000118,(L)-alpha-Terpineol,Alpha-1B adrenergic receptor,216,632,,0.86749,0.706
118,MOL000118,(L)-alpha-Terpineol,Sodium-dependent dopamine transporter,239,713,,0.81137,0.704
118,MOL000118,(L)-alpha-Terpineol,Gamma-aminobutyric acid receptor subunit alpha-1,309,872,,0.91353,0.76
118,MOL000118,(L)-alpha-Terpineol,Gamma-aminobutyric-acid receptor subunit alpha-6,3284,841,,0.92206,0.7
118,MOL000118,(L)-alpha-Terpineol,Prostaglandin G/H synthase 1,6,20,,0.944778,0.718
118,MOL000118,(L)-alpha-Terpineol,Sodium channel protein type 5 subunit alpha,70,220,,0.964973,0.714
118,MOL000118,(L)-alpha-Terpineol,Coagulation factor Xa,79,239,,0.871732,0.706
118,MOL000118,(L)-alpha-Terpineol,Prostaglandin G/H synthase 2,94,290,,0.938267,0.764
118,MOL000118,(L)-alpha-Terpineol,DNA topoisomerase II,287,817,,0.883114,0.726
118,MOL000118,(L)-alpha-Terpineol,Heat shock protein HSP 90,444,1939,,0.967077,0.7
118,MOL000118,(L)-alpha-Terpineol,Nuclear receptor coactivator 2,3276,6241,,0.808453,0.768
118,MOL000118,(L)-alpha-Terpineol,Calcium-activated potassium channel subunit alpha 1,3727,610,,0.938849,0.714
118,MOL000118,(L)-alpha-Terpineol,Cytochrome P450-cam,1143,2298,,0.902258,0.808
118,MOL000118,(L)-alpha-Terpineol,Alpha-1A adrenergic receptor,191,556,,0.802075,0.72
118,MOL000118,(L)-alpha-Terpineol,Ig gamma-1 chain C region,1201,4785,,0.914766,0.718
