X.node1	node2	combined_score
AKT1	MAPK1	0.988
AKT1	TIMP1	0.607
AKT1	MMP2	0.846
AKT1	IL2	0.692
AKT1	CCND1	0.923
AKT1	IRF1	0.499
AKT1	MDM2	0.999
AKT1	IL1B	0.864
AKT1	KDR	0.715
AKT1	EGF	0.933
AKT1	ERBB3	0.854
AKT1	RB1	0.586
AKT1	TP53	0.994
AKT1	ERBB2	0.552
AKT1	EGFR	0.792
AKT1	PPARG	0.79
AKT1	BAX	0.761
AKT1	BIRC5	0.509
AKT1	CXCL8	0.72
AKT1	CASP3	0.945
AKT1	MET	0.408
AKT1	PGR	0.683
AKT1	ESR2	0.684
AKT1	RASSF1	0.72
AKT1	CASP8	0.79
AKT1	MTOR	0.999
AKT1	PARP1	0.825
AKT1	PTGS2	0.775
AKT1	FASLG	0.667
AKT1	MMP9	0.827
AKT1	AR	0.895
AKT1	BCL2L1	0.991
AKT1	CHEK2	0.554
AKT1	CYP1A1	0.43
AKT1	NFE2L2	0.923
AKT1	BCL2	0.993
AKT1	GSTP1	0.401
AKT1	CDKN1A	0.995
AKT1	IL6	0.872
AKT1	IGF2	0.693
AKT1	TNF	0.907
AKT1	RAF1	0.992
AKT1	ESR1	0.913
AKT1	HIF1A	0.932
AKT1	MYC	0.928
AKT1	CTNNB1	0.979
AR	MAPK1	0.527
AR	MMP2	0.412
AR	CCND1	0.955
AR	MDM2	0.998
AR	IL1B	0.63
AR	EGF	0.743
AR	ERBB3	0.636
AR	RB1	0.878
AR	TP53	0.905
AR	ERBB2	0.788
AR	EGFR	0.864
AR	PPARG	0.517
AR	CASP3	0.597
AR	MET	0.507
AR	PGR	0.766
AR	ESR2	0.588
AR	CASP8	0.536
AR	MTOR	0.548
AR	PARP1	0.621
AR	PTGS2	0.423
AR	MMP9	0.495
AR	GSTP1	0.42
AR	IGF2	0.425
AR	NFE2L2	0.438
AR	BCL2L1	0.477
AR	CDKN1A	0.48
AR	TNF	0.483
AR	RAF1	0.495
AR	IL6	0.576
AR	BCL2	0.623
AR	MYC	0.7
AR	HIF1A	0.871
AR	ESR1	0.981
AR	CTNNB1	0.996
BAX	CCND1	0.552
BAX	MDM2	0.459
BAX	IL1B	0.55
BAX	TP53	0.994
BAX	EGFR	0.418
BAX	CTNNB1	0.411
BAX	MYC	0.415
BAX	HIF1A	0.447
BAX	MMP9	0.448
BAX	FASLG	0.48
BAX	TNF	0.503
BAX	CDKN1A	0.505
BAX	IL6	0.515
BAX	MTOR	0.534
BAX	NFE2L2	0.549
BAX	PARP1	0.56
BAX	PTGS2	0.664
BAX	CASP8	0.853
BAX	CASP3	0.884
BAX	BCL2	0.999
BAX	BCL2L1	0.999
BCL2	MAPK1	0.969
BCL2	TIMP1	0.519
BCL2	MMP2	0.716
BCL2	IL2	0.758
BCL2	CCND1	0.958
BCL2	IRF1	0.409
BCL2	MDM2	0.953
BCL2	IL1B	0.808
BCL2	KDR	0.609
BCL2	EGF	0.684
BCL2	ERBB3	0.523
BCL2	RB1	0.54
BCL2	TP53	0.999
BCL2	ERBB2	0.849
BCL2	EGFR	0.839
BCL2	PPARG	0.649
BCL2	BIRC5	0.614
BCL2	CXCL8	0.621
BCL2	CASP3	0.987
BCL2	MET	0.6
BCL2	PGR	0.636
BCL2	ESR2	0.599
BCL2	CASP8	0.984
BCL2	MTOR	0.765
BCL2	PARP1	0.917
BCL2	PTGS2	0.745
BCL2	FASLG	0.811
BCL2	MMP9	0.804
BCL2	BCL2L1	0.999
BCL2	CHEK2	0.572
BCL2	CYP1A1	0.411
BCL2	NFE2L2	0.687
BCL2	GSTP1	0.433
BCL2	IGF2	0.485
BCL2	CTNNB1	0.781
BCL2	CDKN1A	0.82
BCL2	IL6	0.868
BCL2	TNF	0.885
BCL2	RAF1	0.892
BCL2	ESR1	0.897
BCL2	HIF1A	0.946
BCL2	MYC	0.955
BCL2L1	MAPK1	0.672
BCL2L1	MMP2	0.57
BCL2L1	IL2	0.912
BCL2L1	CCND1	0.808
BCL2L1	MDM2	0.794
BCL2L1	IL1B	0.764
BCL2L1	KDR	0.473
BCL2L1	EGF	0.592
BCL2L1	ERBB3	0.445
BCL2L1	TP53	0.999
BCL2L1	ERBB2	0.767
BCL2L1	EGFR	0.847
BCL2L1	PPARG	0.505
BCL2L1	BIRC5	0.537
BCL2L1	CXCL8	0.507
BCL2L1	CASP3	0.95
BCL2L1	MET	0.495
BCL2L1	PGR	0.404
BCL2L1	CASP8	0.933
BCL2L1	MTOR	0.813
BCL2L1	PARP1	0.796
BCL2L1	PTGS2	0.627
BCL2L1	FASLG	0.728
BCL2L1	MMP9	0.649
BCL2L1	CHEK2	0.474
BCL2L1	NFE2L2	0.484
BCL2L1	ESR1	0.578
BCL2L1	HIF1A	0.674
BCL2L1	CDKN1A	0.704
BCL2L1	CTNNB1	0.766
BCL2L1	IL6	0.809
BCL2L1	MYC	0.863
BCL2L1	TNF	0.878
BCL2L1	RAF1	0.892
BIRC5	MMP2	0.484
BIRC5	CCND1	0.751
BIRC5	MDM2	0.422
BIRC5	TP53	0.93
BIRC5	ERBB2	0.7
BIRC5	EGFR	0.695
BIRC5	MMP9	0.401
BIRC5	HIF1A	0.624
BIRC5	ESR1	0.635
BIRC5	CTNNB1	0.65
BIRC5	CASP8	0.66
BIRC5	CDKN1A	0.679
BIRC5	MYC	0.825
BIRC5	CASP3	0.916
CASP3	MAPK1	0.961
CASP3	TIMP1	0.522
CASP3	MMP2	0.713
CASP3	IL2	0.596
CASP3	CCND1	0.847
CASP3	IRF1	0.656
CASP3	MDM2	0.966
CASP3	IL1B	0.899
CASP3	KDR	0.598
CASP3	EGF	0.801
CASP3	ERBB3	0.467
CASP3	RB1	0.751
CASP3	TP53	0.956
CASP3	ERBB2	0.687
CASP3	EGFR	0.747
CASP3	PPARG	0.694
CASP3	CXCL8	0.752
CASP3	CYP1A1	0.446
CASP3	PGR	0.518
CASP3	RAF1	0.528
CASP3	ESR2	0.543
CASP3	CHEK2	0.608
CASP3	IGF2	0.648
CASP3	ESR1	0.692
CASP3	MET	0.708
CASP3	NFE2L2	0.717
CASP3	MTOR	0.723
CASP3	HIF1A	0.766
CASP3	MMP9	0.806
CASP3	PTGS2	0.865
CASP3	IL6	0.881
CASP3	MYC	0.881
CASP3	FASLG	0.892
CASP3	TNF	0.939
CASP3	CTNNB1	0.965
CASP3	CDKN1A	0.996
CASP3	CASP8	0.999
CASP3	PARP1	0.999
CASP8	MAPK1	0.839
CASP8	MMP2	0.49
CASP8	IL2	0.491
CASP8	CCND1	0.687
CASP8	IRF1	0.502
CASP8	MDM2	0.75
CASP8	IL1B	0.943
CASP8	EGF	0.486
CASP8	RB1	0.508
CASP8	TP53	0.991
