Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","59","GC17M043044","599.269409179688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","56","GC13P032315","562.822998046875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","Q86YC2","53","GC16M023603","268.320129394531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"TP53","Tumor Protein P53","Protein Coding","P04637","62","GC17M007661","266.321563720703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","61","GC11P108223","258.888946533203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"BRIP1","BRCA1 Interacting Helicase 1","Protein Coding","Q9BX63","57","GC17M061679","254.092971801758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1"
"CHEK2","Checkpoint Kinase 2","Protein Coding","O96017","63","GC22M028687","245.694549560547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"LOC126862571","BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335","Functional Element","","9","GC17P103838","224.208312988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862571"
"MSH6","MutS Homolog 6","Protein Coding","P52701","57","GC02P047695","223.060562133789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"CDH1","Cadherin 1","Protein Coding","P12830","58","GC16P068737","221.77978515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"MSH2","MutS Homolog 2","Protein Coding","P43246","57","GC02P047403","217.951568603516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2"
"BARD1","BRCA1 Associated RING Domain 1","Protein Coding","Q99728","55","GC02M214725","212.439880371094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1"
"MLH1","MutL Homolog 1","Protein Coding","P40692","57","GC03P036993","200.906524658203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","58","GC05P112707","191.019775390625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","P54278","57","GC07M005973","183.614685058594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"RAD51D","RAD51 Paralog D","Protein Coding","O75771","49","GC17M035092","181.359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","60","GC10P106636","178.278732299805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"RAD51L3-RFFL","RAD51L3-RFFL Readthrough","RNA Gene","","16","GC17M035009","168.242523193359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51L3-RFFL"
"C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","Q8NCR3","40","GC11M108308","167.382904052734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf65"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","63","GC07P055019","162.67008972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"RAD51C","RAD51 Paralog C","Protein Coding","O43502","51","GC17P058692","158.211944580078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"NBN","Nibrin","Protein Coding","O60934","57","GC08M089933","153.376174926758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","56","GC12M132769","151.959259033203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","61","GC03P179148","146.884628295898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"RAD50","RAD50 Double Strand Break Repair Protein","Protein Coding","Q92878","58","GC05P132556","143.755477905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","60","GC09M021967","140.182556152344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","P04626","63","GC17P039687","139.407592773438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","61","GC12M028437","137.08659362793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"NF1","Neurofibromin 1","Protein Coding","P21359","56","GC17P031094","133.134033203125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"AXIN2","Axin 2","Protein Coding","Q9Y2T1","58","GC17M065528","131.031936645508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXIN2"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","62","GC07M140762","128.751617431641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
